Star_name_1,Distance_1,Mass_1,Radius_1
SDSSp J162414.37+002915.6 [de],36.0,0.041047283,0.09659721999999998
2MASS J16262034+3925190 [de],110.0,0.06777575,0.10584589
2MASSW J1632291+190441 [de],50.0,0.046774812,0.09968010999999999
WISEPA J164715.59+563208.2,28.0,0.03913811,0.09659721999999998
LSPM J1658+7027 [de],60.0,0.06968492,0.10687352
2MASSI J1726000+153819,114.0,0.022910113,0.14386819999999997
2MASSW J1728114+394859,79.0,,
SDSSp J175032.96+175903.9,90.0,0.044865634,0.09968010999999999
2MASS J18283572-4849046,39.0,0.04295646,0.09762484999999999
LSR J1835+3259,18.5,0.07350328,0.10995641
2MASSW J1841086+311727,138.0,0.06395739,0.10379063
2MASS J18432213+4040209,46.0,0.09164045,0.12537086
2MASS J20004841-7523070,105.0,0.0238647,0.19319443999999997
SDSS J204749.61-071818.3,65.0,0.043911047,0.09865247999999999
2MASSI J2057540-025230,47.0,0.06682116,0.10481826
2MASSW J2101154+175658,108.0,,
2MASSI J2104149-103736,62.0,0.065866575,0.10481826
PSO J318.5−22,80.0,0.006204822,0.15722739
HB 2124-4228,113.0,0.08973127,0.12434322999999999
2MASS J21392676+0220226,32.1,0.043911047,0.09865247999999999
2MASS J21481628+4003593,26.3,0.05250234,0.10173536999999999
2MASS J14112131-2119503,,,
2MASSW J2206450-421721,93.0,0.021000937,0.13667479
2MASSW J2208136+292121,154.0,0.025773875,0.14489582999999998
2MASSW J2224438-015852,38.0,0.058229867,0.10173536999999999
2MASS J22282889-4310262,35.0,0.040092696,0.09659721999999998
2MASS J22373255+3922398,64.0,0.06968492,0.10687352
2MASSW J2244316+204343,56.0,0.011455056,0.13256426999999998
2MASS J23224684-3133231,56.0,0.022910113,0.14284056999999997
2MASS J23225299-6151275,148.0,0.016227996,0.16339317
2MASS J23515044-2537367,67.0,0.08400375,0.11920507999999998
2MASSI J2356547-155310,74.0,0.07636704,0.11201167000000001
WISE 0005+3737,23.2,,
WISE 0008-1739,87.1,,
WISE 0015-4615,48.6,,
WISE 0031-3840,71.8,,
WISE 0032-4946,62.9,,
WISE 0038+2758,36.9,,
WISE 0038+8405,101.8,,
WISE 0040+0900,47.6,,
WISE 0049+0441,62.6,,
WISE 0049+2151,24.1,,
WISE 0106+1518,142.9,,
WISE 0123+4142,67.2,,
WISE 0135+1715,77.3,,
WISE 0138-0322,57.7,,
WISE 0146+4234,20.5,,
WISE 0148-7202,30.0,,
WISE 0150+3827,61.3,,
WISE 0206+2640,58.4,,
WISE 0221+3842,73.1,,
WISE 0223-2932,47.0,,
WISE 0226-0211,91.0,,
WISE 0241-3653,53.8,,
WISE 0245-3450,56.1,,
WISE 0247+3725,57.1,,
WISE 0305+3954,75.0,,
WISE 0307+2904,82.8,,
WISE 0313+7807,28.0,,
WISE 0316+4307,106.3,,
WISE 0321-7347,84.8,,
WISE 0323-6025,45.3,,
WISE 0325-3854,51.2,,
WISE 0325+0831,36.5,,
WISE 0333-5856,54.8,,
WISE 0335+4310,45.7,,
WISE 0336-0143,55.4,,
WISE 0350-5658,17.7,,
WISE 0359-5401,19.2,,
WISE 0410+1502,20.0,0.005727528,0.12023270999999998
WISE 0410+1411,85.8,,
WISE 0413-4750,66.2,,
WISE 0448-1935,69.8,,
WISE 0458+6434A,35.9,0.01431882,0.4316046
WISE 0458+6434B,35.9,0.00954588,0.39049939999999994
WISE 0500-1223,47.0,,
WISE 0513+0608,44.7,,
WISE 0525+6739,98.2,,
WISE 0528-3308,57.4,,
WISE 0535-7500,47.0,,
WISE 0539-1034,84.8,,
WISE 0542-1628,50.6,,
WISE 0607+2429,25.4,,
WISE 0611-0410,57.7,,
WISE 0612-4920,95.2,,
WISE 0612-3036,64.9,,
WISE 0614+3912,50.2,,
WISE 0614+0951,51.5,,
WISE 0623-0456,37.5,,
WISE 0625+5646,67.2,,
WISE 0627-1114,37.2,,
WISE 0647-6232,28.0,,
WISE 0656+4205,54.1,,
WISE 0713-2917,23.2,,
WISE 0723+3403,45.7,,
WISE 0733+7544,78.3,,
WISE 0734-7157,34.9,,
WISE 0744+5628,47.3,,
WISE 0750+2725,51.5,,
WISE 0751-7634,39.1,,
WISE 0759-4904,38.8,,
WISE 0811-8051,32.0,,
WISE 0812+4021,63.6,,
WISE 0819-0335,46.0,,
WISE 0821+1443,68.2,,
WISE 0836-1859,72.4,,
WISE 0857+5604,42.1,,
WISE 0906+4735,51.5,,
WISE 0929+0409,64.9,,
WISE 0952+1955,72.1,,
WISE 1018-2445,47.6,,
WISE 1019+6529,56.8,,
WISE 1039-1600,47.3,,
WISE 1042-3842,53.2,,
WISE 1051-2138,40.8,,
WISE 1122+2550,57.7,,
WISE 1124-0421,50.6,,
WISE 1147-2040,102.0,,
WISE 1150+6302,32.9,,
WISE 1217+1626A,34.2,0.011455056,
WISE 1217+1626B,34.2,0.005727528,
WISE 1225-1013,55.4,,
WISE 1311+0122,44.4,,
WISE 1311+3629,86.1,,
WISE 1318-1758,32.9,,
WISE 1320+6034,56.1,,
WISE 1322-2340,33.9,,
WISE 1348+6603,91.0,,
WISE 1405+5534,25.3,0.02863764,0.08837618
WISE 1433-0837,84.8,,
WISE 1436-1814,60.0,,
WISE 1457+5815,52.2,,
WISE 1506+7027,11.1,,
WISE 1517+0529,72.4,,
WISE 1519+7009,50.9,,
WISE 1523+3125,84.5,,
WISE 1541-2250,20.0,,
WISE 1542+2230,41.1,,
WISE 1612-3420,55.4,,
WISE 1614+1739,32.6,,
WISE 1617+1807,50.2,,
WISE 1622-0959,52.2,,
WISE 1627+3255,50.2,,
WISE 1639-6847,16.3,,
WISE 1647+5632,28.0,,
WISE 1653+4444,39.5,,
WISE 1711+3500,60.3,,
WISE 1717+6129,72.7,,
WISE 1721+1117,62.3,,
WISE 1728+5716,97.8,,
WISE 1738+2732,20.0,,
WISE 1741+2553,18.9,,
WISE 1746-0338,83.8,,
WISE 1800+0134,28.7,0.054411516,
WISE 1804+3117,30.0,,
WISE 1809+3838,74.4,,
WISE 1812+2721,47.0,,
WISE 1828+2650,36.0,,
WISE 1830+4542,107.0,,
WISE 1841+7000,131.1,,
WISE 1852+3537,55.4,,
WISE 1906+4508,51.5,,
WISE 1928+2356,22.8,,
WISE 1952+7240,44.4,,
